GeneSymbol,GeneSymbol.1,INT
MON2,GGA3,PPI
MON2,MMS19,PPI
PAN2,BCLAF1,PPI
SRPK2,BCLAF1,PPI
CEP57,PRPF19,PPI
SRRM1,BCLAF1,PPI
CBLB,TICAM1,PPI
ZWINT,TRIM5,PPI
MTPN,REL,PPI
ZPR1,UBXN7,PPI
UBE2C,UBXN7,PPI
UBXN7,APP,PPI
UBXN7,UBE2V1,PPI
UBE2V2,UBXN7,PPI
UBE2D1,UBXN7,PPI
UBXN7,ZFYVE19,PPI
UBXN7,ATP6V1F,PPI
UBXN7,USP34,PPI
UBXN7,UFC1,PPI
UBXN7,SULT1A1,PPI
UBXN7,UBE4B,PPI
UBXN7,RAD23B,PPI
UBXN7,DKFZp451O0517,PPI
UBXN7,NSUN2,PPI
UBXN7,LZTFL1,PPI
REL,CCNJL,PPI
LYN,HCLS1,PPI
UBXN7,KLHL22,PPI
ITSN2,CPSF6,PPI
UBXN7,TOPORS,PPI
UBXN7,PSMD2,PPI
UBXN7,ELOB,PPI
UBXN7,WDR26,PPI
UBXN7,KLHL13,PPI
UBXN7,CUL4B,PPI
UBXN7,KBTBD2,PPI
UBXN7,SUMO2,PPI
UBXN7,AMFR,PPI
EEF1A1,AMFR,PPI
NEDD4,LAPTM5,PPI
NEDD4,MAP4K5,PPI
RPS8,EEF1A1,PPI
CBX8,BCLAF1,PPI
MON2,PAAF1,PPI
SRSF10,NFIA,PPI
HIST1H2BO,GDI1,PPI
ALDH9A1,GDI1,PPI
